evaluated_at,created_at,market,symbol,name,mode,mode_label,swing_group,entry_price,stop_loss,target_price,execution_status,expected_profit_pct,expected_loss_pct,outcome_result,outcome_date,realized_return_pct,evaluation_source
2026-08-19 21:42:03,2026-08-19 21:41:47,us,ZS,ZSCALER,aggressive,공격,C,134.48,126.48,146.08,추격 부담,8.120000000000015,-5.59999999999999,close_exit,2026-07-20,,reports/mone_v36_final_trade_validation_us_aggressive_swing_20260720.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,ZS,ZSCALER,balanced,균형,C,134.48,126.48,146.08,대기,8.120000000000015,-5.59999999999999,close_exit,2026-07-20,,reports/mone_v36_final_trade_validation_us_aggressive_swing_20260720.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,ZS,ZSCALER,conservative,보수,C,134.48,126.48,146.08,대기,8.120000000000015,-5.59999999999999,close_exit,2026-07-20,,reports/mone_v36_final_trade_validation_us_aggressive_swing_20260720.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,CELH,CELSIUS,aggressive,공격,C,28.46,26.95,30.64,추격 부담,7.629999999999998,-5.285000000000005,close_exit,2026-08-17,,reports/mone_v36_final_trade_validation_us_conservative_short_20260817.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,CELH,CELSIUS,balanced,균형,C,28.46,26.95,30.64,대기,7.629999999999998,-5.285000000000005,close_exit,2026-08-17,,reports/mone_v36_final_trade_validation_us_conservative_short_20260817.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,CELH,CELSIUS,conservative,보수,C,28.46,26.95,30.64,대기,7.629999999999998,-5.285000000000005,close_exit,2026-08-17,,reports/mone_v36_final_trade_validation_us_conservative_short_20260817.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,RXRX,RECURSION,aggressive,공격,C,3.48,3.21,3.86,공격 검토,10.905999999999997,-7.7490000000000006,not_executed,2026-08-17,,reports/mone_v36_final_trade_validation_us_aggressive_mid_20260817.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,RXRX,RECURSION,balanced,균형,C,3.48,3.21,3.86,기준가 아래,10.905999999999997,-7.7490000000000006,not_executed,2026-08-17,,reports/mone_v36_final_trade_validation_us_aggressive_mid_20260817.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,RXRX,RECURSION,conservative,보수,C,3.48,3.21,3.86,체결 가능,10.905999999999997,-7.7490000000000006,not_executed,2026-08-17,,reports/mone_v36_final_trade_validation_us_aggressive_mid_20260817.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,MSTR,MICROSTRATEGY,aggressive,공격,C,133.56,127.94,141.72,추격 부담,5.711999999999998,-3.9340000000000033,검증 대기,,,outcome 미매칭
2026-08-19 21:42:03,2026-08-19 21:41:47,us,MSTR,MICROSTRATEGY,balanced,균형,C,133.56,127.94,141.72,대기,5.711999999999998,-3.9340000000000033,검증 대기,,,outcome 미매칭
2026-08-19 21:42:03,2026-08-19 21:41:47,us,MSTR,MICROSTRATEGY,conservative,보수,C,133.56,127.94,141.72,대기,5.711999999999998,-3.9340000000000033,검증 대기,,,outcome 미매칭
2026-08-19 21:42:03,2026-08-19 21:41:47,us,SHOP,SHOPIFY,aggressive,공격,C,113.3,110.33,123.58,공격 검토,8.224,-2.375999999999999,not_executed,2026-08-14,,reports/mone_v36_final_trade_validation_us_aggressive_swing_20260814.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,SHOP,SHOPIFY,balanced,균형,C,113.3,110.33,123.58,기준가 아래,8.224,-2.375999999999999,not_executed,2026-08-14,,reports/mone_v36_final_trade_validation_us_aggressive_swing_20260814.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,SHOP,SHOPIFY,conservative,보수,C,113.3,110.33,123.58,체결 가능,8.224,-2.375999999999999,not_executed,2026-08-14,,reports/mone_v36_final_trade_validation_us_aggressive_swing_20260814.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,PATH,UIPATH,aggressive,공격,C,11.64,10.99,12.58,공격 검토,7.989999999999996,-5.525000000000003,not_executed,2026-08-13,,reports/mone_v36_final_trade_validation_us_balanced_swing_20260813.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,PATH,UIPATH,balanced,균형,C,11.64,10.99,12.58,기준가 아래,7.989999999999996,-5.525000000000003,not_executed,2026-08-13,,reports/mone_v36_final_trade_validation_us_balanced_swing_20260813.csv
2026-08-19 21:42:03,2026-08-19 21:41:47,us,PATH,UIPATH,conservative,보수,C,11.64,10.99,12.58,체결 가능,7.989999999999996,-5.525000000000003,not_executed,2026-08-13,,reports/mone_v36_final_trade_validation_us_balanced_swing_20260813.csv
