signal_id,window_days,close_price,return_pct,hit_target,hit_stop,verified_at
f6551ad9-774,3,108700.0,-11.55,False,True,2026-06-10T16:41:02.605688
8e6c5273-7f8,3,105700.0,-0.66,False,False,2026-06-10T16:41:02.616785
591f1242-bb9,5,406.4299926757813,-2.2,False,True,2026-06-16T18:41:57.132112
e878393e-2f0,3,381.5899963378906,-8.18,False,True,2026-06-16T18:41:57.137088
e878393e-2f0,5,406.4299926757813,-2.2,False,True,2026-06-16T18:41:57.137714
e46f5ef4-dc3,5,566.97998046875,-6.04,False,True,2026-06-16T18:41:57.142223
481b4177-e3d,3,238.0,-11.68,False,True,2026-06-16T18:41:57.146972
481b4177-e3d,5,238.5500030517578,-11.47,False,True,2026-06-16T18:41:57.147578
bb1bbf8d-5fa,3,570.97998046875,-5.37,False,True,2026-06-16T18:41:57.151793
bb1bbf8d-5fa,5,566.97998046875,-6.04,False,True,2026-06-16T18:41:57.152441
281eb48d-d24,5,108900.0,1.49,False,False,2026-06-16T18:41:57.156663
f6551ad9-774,5,106500.0,-13.34,False,True,2026-06-16T18:41:57.161148
427fd894-9b7,5,106500.0,-13.34,False,True,2026-06-16T18:41:57.165155
56d3982c-05d,5,111400.0,-1.24,False,True,2026-06-16T18:41:57.169332
8e6c5273-7f8,5,103000.0,-3.2,False,False,2026-06-16T18:41:57.173879
8674202a-088,5,121000.0,-2.1,False,True,2026-06-16T18:41:57.177737
281eb48d-d24,10,110200.0,2.7,False,False,2026-06-19T09:02:26.877628
f6551ad9-774,10,109700.0,-10.74,False,True,2026-06-19T09:02:26.882102
427fd894-9b7,10,109700.0,-10.74,False,True,2026-06-19T09:02:26.886135
56d3982c-05d,10,105800.0,-6.21,False,True,2026-06-19T09:02:26.890338
8e6c5273-7f8,10,94700.0,-11.0,False,True,2026-06-19T09:02:26.894826
8674202a-088,10,125900.0,1.86,False,True,2026-06-19T09:02:26.898676
e46f5ef4-dc3,10,566.618408203125,-6.1,False,True,2026-06-22T23:31:57.502603
bb1bbf8d-5fa,10,566.618408203125,-6.1,False,True,2026-06-22T23:31:57.511153
