journal_id,status,outcome,filled,fill_date,fill_price,exit_date,exit_price,gross_pnl_pct,net_pnl_pct,mfe_pct,mae_pct,bars_held,entry_window_days,evaluation_window_days,target_progress,stop_progress,failure_reason,secondary_tags,regime_at_entry,regime_at_exit,signal_confidence,data_confidence,review_text,evaluated_at
90b0f1f48540f6d23bd6eef1,EVALUATED,STOP_HIT,True,2026-06-22,354354.0,2026-06-23,322226.9901,-8.6924,-9.0664,2.5424,-12.4294,2,3,5,0.1253,1.4299,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -9.07% (MFE +2.54% / MAE -12.43%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-23T16:46:41
30adecf041c75ac5c9d6cf5e,EVALUATED,STOP_HIT,True,2026-06-22,354354.0,2026-06-23,314557.8384,-10.8655,-11.2306,2.5424,-12.4294,2,5,20,0.078,1.1439,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -11.23% (MFE +2.54% / MAE -12.43%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-23T16:46:41
e9ffe0c706d8168e79503491,EVALUATED,STOP_HIT,True,2026-06-22,254754.5,2026-06-23,233668.3755,-7.8998,-8.277,2.8958,-11.0039,2,10,60,0.1316,1.1583,STOP_TOO_TIGHT,,횡보장,NEUTRAL,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -8.28% (MFE +2.90% / MAE -11.00%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-23T16:46:41
0cfa8f9fb92e243f17280dd4,EVALUATED,STOP_HIT,True,2026-06-22,354354.0,2026-06-23,314557.8384,-10.8655,-11.2306,2.5424,-12.4294,2,5,20,0.078,1.1439,STOP_TOO_TIGHT,,횡보장,RISK_ON,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -11.23% (MFE +2.54% / MAE -12.43%). 복기: 의미 있는 상승 이후 손절가가 좁아 되돌림에 청산됐습니다. [STOP_TOO_TIGHT] 유형으로 기록합니다.",2026-06-23T16:46:41
235480334fa7ce1575fad05e,EVALUATED,STOP_HIT,True,2026-06-22,339339.0,2026-06-23,291806.5866,-13.6537,-14.0074,0.2959,-14.0533,2,10,60,0.008,1.0489,OVEREXTENDED_ENTRY,,횡보장,RISK_OFF,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -14.01% (MFE +0.30% / MAE -14.05%). 복기: 진입 시점이 고점 부근이거나 이미 과매수 구간이었습니다. [OVEREXTENDED_ENTRY] 유형으로 기록합니다.",2026-06-23T16:46:41
9b232553a6f2b6f01c2837ad,EVALUATED,STOP_HIT,True,2026-06-22,339339.0,2026-06-23,309865.4301,-8.31,-8.6856,0.2959,-14.0533,2,3,5,0.0158,1.7482,OVEREXTENDED_ENTRY,,횡보장,RISK_OFF,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -8.69% (MFE +0.30% / MAE -14.05%). 복기: 진입 시점이 고점 부근이거나 이미 과매수 구간이었습니다. [OVEREXTENDED_ENTRY] 유형으로 기록합니다.",2026-06-23T16:46:41
60c13bb8ce6bdeb654585cab,EVALUATED,STOP_HIT,True,2026-06-22,667667.0,2026-06-23,614004.6666,-7.6591,-8.0373,1.0495,-11.8441,2,3,5,0.0587,1.5464,OVEREXTENDED_ENTRY,,횡보장,NEUTRAL,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -8.04% (MFE +1.05% / MAE -11.84%). 복기: 진입 시점이 고점 부근이거나 이미 과매수 구간이었습니다. [OVEREXTENDED_ENTRY] 유형으로 기록합니다.",2026-06-23T16:46:41
4e44dc2ba28bed5ac83c8ef8,EVALUATED,STOP_HIT,True,2026-06-22,339339.0,2026-06-23,303093.4884,-10.3139,-10.6812,0.2959,-14.0533,2,5,20,0.0098,1.3985,OVEREXTENDED_ENTRY,,횡보장,RISK_OFF,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -10.68% (MFE +0.30% / MAE -14.05%). 복기: 진입 시점이 고점 부근이거나 이미 과매수 구간이었습니다. [OVEREXTENDED_ENTRY] 유형으로 기록합니다.",2026-06-23T16:46:41
5558c61060544fc0bba1631b,EVALUATED,STOP_HIT,True,2026-06-22,667667.0,2026-06-23,601273.2567,-9.5738,-9.9441,1.0495,-11.8441,2,5,20,0.0365,1.2371,OVEREXTENDED_ENTRY,,횡보장,NEUTRAL,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -9.94% (MFE +1.05% / MAE -11.84%). 복기: 진입 시점이 고점 부근이거나 이미 과매수 구간이었습니다. [OVEREXTENDED_ENTRY] 유형으로 기록합니다.",2026-06-23T16:46:41
0c7768565c95bda42be3b708,EVALUATED,STOP_HIT,True,2026-06-23,205705.5,2026-06-23,197628.4467,-3.5314,-3.9265,-6.9663,-16.0,1,10,60,-0.2324,1.4676,MARKET_GAP,,횡보장,RISK_OFF,MED,HIGH,"추천 당시 중간 신호 신뢰도 (횡보장 환경)로 진입 검토됐습니다. 목표가 도달 전 손절가를 터치했습니다, 손익 -3.93% (MFE -6.97% / MAE -16.00%). 복기: 추천 후 갭 발생으로 예상 진입가와 실제 체결가 사이에 괴리가 생겼습니다. [MARKET_GAP] 유형으로 기록합니다.",2026-06-23T16:46:42
