market,symbol,name,corp_code,title,date,rcept_no,source,url,collection_status,collection_message,collected_at
kr,005830,DB손해보험,00159102,[기재정정]주요사항보고서(자본으로인정되는채무증권발행결정),20260629,20260629000009,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000009,000,정상,2026-06-29 09:00:31
kr,121440,골프존홀딩스,00674498,공개매수설명서,20260629,20260629000008,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000008,000,정상,2026-06-29 09:00:31
kr,121440,골프존홀딩스,00674498,공개매수신고서,20260629,20260629000007,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000007,000,정상,2026-06-29 09:00:31
kr,,케이라인마리타임코리아,00415956,감사보고서 (2026.03),20260629,20260629000006,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000006,000,정상,2026-06-29 09:00:31
kr,066790,씨씨에스,00249441,대표이사변경              ,20260629,20260629900079,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900079,000,정상,2026-06-29 09:00:31
kr,,코스닥시장본부,00332149,기타시장안내(금일NXT경쟁매매대상종목지정으로인한KRX시간외단일가매매제외종목안내(코스닥시장))              ,20260629,20260629900066,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900066,000,정상,2026-06-29 09:00:31
kr,,유가증권시장본부,00420301,기타시장안내(금일NXT경쟁매매대상종목지정으로인한KRX시간외단일가매매제외종목안내(유가증권시장))              ,20260629,20260629800065,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629800065,000,정상,2026-06-29 09:00:31
kr,300080,플리토,01237434,[기재정정]단일판매ㆍ공급계약체결              ,20260629,20260629900047,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900047,000,정상,2026-06-29 09:00:31
kr,300080,플리토,01237434,[기재정정]단일판매ㆍ공급계약체결              ,20260629,20260629900039,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900039,000,정상,2026-06-29 09:00:31
kr,300080,플리토,01237434,주권매매거래정지              (단일판매공급계약),20260629,20260629900051,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900051,000,정상,2026-06-29 09:00:31
kr,066790,씨씨에스,00249441,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,20260629,20260629900033,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900033,000,정상,2026-06-29 09:00:31
kr,066790,씨씨에스,00249441,임시주주총회결과              ,20260629,20260629900031,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900031,000,정상,2026-06-29 09:00:31
kr,000210,DL,00109693,투자판단관련주요경영사항(자회사의 주요경영사항)              ,20260629,20260629800055,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629800055,000,정상,2026-06-29 09:00:31
kr,375500,DL이앤씨,01524093,투자판단관련주요경영사항              ,20260629,20260629800037,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629800037,000,정상,2026-06-29 09:00:31
kr,000720,현대건설,00164478,[기재정정]중대재해발생              ,20260629,20260629800029,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629800029,000,정상,2026-06-29 09:00:31
kr,002690,동일제강,00118451,공개매수설명서,20260629,20260629000004,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000004,000,정상,2026-06-29 09:00:31
kr,002690,동일제강,00118451,공개매수신고서,20260629,20260629000003,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000003,000,정상,2026-06-29 09:00:31
kr,200350,아티스트스튜디오,00990819,주권관련사채권의취득결정              ,20260629,20260629900007,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900007,000,정상,2026-06-29 09:00:31
kr,322780,코퍼스코리아,01364297,경영권변경등에관한계약체결              ,20260629,20260629900001,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900001,000,정상,2026-06-29 09:00:31
kr,322780,코퍼스코리아,01364297,주요사항보고서(전환사채권발행결정),20260629,20260629000002,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000002,000,정상,2026-06-29 09:00:31
kr,322780,코퍼스코리아,01364297,주요사항보고서(유상증자결정),20260629,20260629000001,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000001,000,정상,2026-06-29 09:00:31
kr,322780,코퍼스코리아,01364297,주주총회소집결의              (임시주주총회),20260629,20260629900003,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900003,000,정상,2026-06-29 09:00:31
kr,322780,코퍼스코리아,01364297,주주명부폐쇄기간또는기준일설정              ,20260629,20260629900002,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900002,000,정상,2026-06-29 09:00:31
kr,,데이터젠,01936340,효력발생안내( 2026.6.5. 제출 증권신고서(투자계약증권) ),20260629,20260605100001,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260605100001,000,정상,2026-06-29 09:00:31
kr,,신한자산운용,00243553,효력발생안내( 2026.6.23. 제출 증권신고서(집합투자증권-신탁형) ),20260629,20260626100005,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626100005,000,정상,2026-06-29 09:00:31
kr,208640,썸에이지,01049422,효력발생안내( 2026.6.12. 제출 증권신고서(지분증권) ),20260629,20260612100008,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260612100008,000,정상,2026-06-29 09:00:31
kr,320000,한울반도체,01359815,정정신고서제출요구( 2026.06.15. 제출 증권신고서(지분증권) ),20260626,20260626100002,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626100002,000,정상,2026-06-29 09:00:31
kr,001470,삼부토건,00125974,주요사항보고서(유상증자결정),20260629,20260626000774,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000774,000,정상,2026-06-29 09:00:31
kr,001470,삼부토건,00125974,주요사항보고서(감자결정),20260629,20260626000773,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000773,000,정상,2026-06-29 09:00:31
kr,001470,삼부토건,00125974,주요사항보고서(유상증자결정),20260629,20260626000772,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000772,000,정상,2026-06-29 09:00:31
kr,001470,삼부토건,00125974,주요사항보고서(감자결정),20260629,20260626000771,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000771,000,정상,2026-06-29 09:00:31
kr,001470,삼부토건,00125974,회생계획인가              ,20260626,20260626801447,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626801447,000,정상,2026-06-29 09:00:31
kr,215090,솔디펜스,01063884,단일판매ㆍ공급계약체결(자율공시)              ,20260626,20260626901432,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901432,000,정상,2026-06-29 09:00:31
kr,085660,차바이오텍,00525679,[기재정정]타법인주식및출자증권취득결정              ,20260626,20260626901433,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901433,000,정상,2026-06-29 09:00:31
kr,215090,솔디펜스,01063884,[기재정정]단일판매ㆍ공급계약체결              ,20260626,20260626901426,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901426,000,정상,2026-06-29 09:00:31
kr,043260,성호전자,00317210,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260626,20260626901416,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901416,000,정상,2026-06-29 09:00:31
kr,148250,알엔투테크놀로지,00915508,소송등의제기ㆍ신청(경영권분쟁소송)              (이사회결의효력정지 가처분),20260626,20260626901415,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901415,000,정상,2026-06-29 09:00:31
kr,148250,알엔투테크놀로지,00915508,[기재정정]주요사항보고서(타법인주식및출자증권양도결정),20260626,20260626000765,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000765,000,정상,2026-06-29 09:00:31
kr,059270,해성에어로보틱스,00453442,소송등의제기ㆍ신청(경영권분쟁소송)              ,20260626,20260626901413,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901413,000,정상,2026-06-29 09:00:31
kr,340930,유일에너테크,01368637,최대주주변경을수반하는주식양수도계약해제ㆍ취소등              ,20260626,20260626901414,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626901414,000,정상,2026-06-29 09:00:31
kr,402340,SK스퀘어,01596425,중대재해발생(자회사의 주요경영사항)              ,20260626,20260626801399,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626801399,000,정상,2026-06-29 09:00:31
kr,,메리츠캐피탈,00933504,투자설명서(일괄신고),20260626,20260626000770,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000770,000,정상,2026-06-29 09:00:31
