구분,종목,시장,보유수량,평단가,현재가,수익률,권장행동,권장수량,예상금액,가격출처,초보자 안내
보유/매도,ASTS (ASTS),미국주식,34.0,$81.93,$105.88,29.24%,일부 익절 검토,8,$847.04,intraday_realtime_snapshot.csv,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,BMNR (BMNR),미국주식,211.0,$22.75,$18.89,-16.97%,손절/축소 검토,106,"$2,002.34",intraday_realtime_snapshot.csv,손실 구간입니다. 손절가 이탈 여부를 먼저 확인합니다.
보유/매도,CAT (CAT),미국주식,5.0,$782.78,$879.91,12.41%,보유 유지,0,-,intraday_realtime_snapshot.csv,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,CRCL (CRCL),미국주식,30.0,$94.55,$113.14,19.66%,보유 유지,0,-,intraday_realtime_snapshot.csv,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,INTC (INTC),미국주식,65.0,$55.29,$119.86,116.78%,일부 익절 검토,16,"$1,917.76",intraday_realtime_snapshot.csv,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,LITE (LITE),미국주식,5.0,$869.00,$946.92,8.97%,보유 유지,0,-,intraday_realtime_snapshot.csv,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,NBIS (NBIS),미국주식,22.0,$159.00,$214.79,35.09%,일부 익절 검토,6,"$1,288.74",intraday_realtime_snapshot.csv,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,RKLB (RKLB),미국주식,21.0,$67.50,$135.78,101.16%,일부 익절 검토,5,$678.90,intraday_realtime_snapshot.csv,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,SNDK (SNDK),미국주식,5.0,$791.60,"$1,478.71",86.80%,일부 익절 검토,1,"$1,478.71",intraday_realtime_snapshot.csv,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,AAOI (AAOI),미국주식,11.0,$174.64,$181.51,3.93%,보유 유지,0,-,intraday_realtime_snapshot.csv,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,SIMO (SIMO),미국주식,9.0,$244.21,$276.16,13.08%,보유 유지,0,-,intraday_realtime_snapshot.csv,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
