시장,종목,종목코드,재무상태,PER,PBR,ROE,매출성장률,부채비율,가치평가,KPI,초보자 해석,다음 행동
한국주식,DB하이텍 (000990),000990,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,HD현대중공업 (329180),329180,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,ISC (95340),95340,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,LG유플러스 (032640),032640,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,LIG넥스원 (79550),79550,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,LS (006260),006260,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,POSCO홀딩스 (5490),5490,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,SK (034730),034730,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,대덕전자 (353200),353200,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,두산에너빌리티 (034020),034020,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,두산에너빌리티 (34020),34020,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
한국주식,두산테스나 (131970),131970,재무 데이터 부족,-,-,-,-,-,데이터 필요,확인 필요,단기 매매 후보로는 볼 수 있지만 장기 보유 판단은 아직 보류합니다.,DART/Finnhub/yfinance 재무 갱신 후 재확인
