signalDate,symbol,setup,regime,rsi14,distMa20Pct,entry,grossPnlPct,netPnlPct,outcome,barsHeld,exitDate,source
2026-07-20,010950,BREAKOUT,BEAR,84.7,24.2,148600.0,-4.0,-4.5,LOSS,1,2026-07-21,LIVE
2026-07-20,196170,BOTTOM_CATCH,BEAR,25.1,-14.5,282500.0,-6.207,-6.707,LOSS,1,2026-07-21,LIVE
2026-07-20,009150,BOTTOM_CATCH,BEAR,30.8,-23.4,1345000.0,8.0,7.5,WIN,2,2026-07-22,LIVE
2026-07-20,000660,BOTTOM_CATCH,BEAR,31.7,-19.3,1881000.0,-9.145,-9.645,LOSS,5,2026-07-27,LIVE
2026-07-22,329180,BOTTOM_CATCH,BEAR,17.4,-12.6,464500.0,8.0,7.5,WIN,1,2026-07-23,LIVE
2026-07-22,006260,BOTTOM_CATCH,BEAR,23.8,-13.6,284500.0,8.0,7.5,WIN,1,2026-07-23,LIVE
2026-07-22,034020,BOTTOM_CATCH,BEAR,27.3,-12.1,69200.0,-3.066,-3.566,LOSS,4,2026-07-28,LIVE
2026-07-22,005380,BOTTOM_CATCH,BEAR,31.8,-9.5,418000.0,-3.032,-3.532,LOSS,2,2026-07-24,LIVE
2026-07-23,078930,BREAKOUT,BEAR,68.2,15.4,88700.0,8.0,7.5,WIN,1,2026-07-24,LIVE
2026-07-23,138040,BREAKOUT,BEAR,65.6,4.7,116800.0,8.0,7.5,WIN,2,2026-07-27,LIVE
2026-07-23,035900,BOTTOM_CATCH,BEAR,17.3,-11.1,44150.0,-3.173,-3.673,LOSS,4,2026-07-29,LIVE
2026-07-23,329180,BOTTOM_CATCH,BEAR,24.1,-9.4,477000.0,-4.081,-4.581,LOSS,3,2026-07-28,LIVE
2026-07-23,003490,BOTTOM_CATCH,BEAR,27.8,-6.8,25350.0,-4.024,-4.524,LOSS,4,2026-07-29,LIVE
2026-07-23,011070,BOTTOM_CATCH,BEAR,28.4,-12.5,681000.0,-4.827,-5.327,LOSS,1,2026-07-24,LIVE
2026-07-23,086900,BOTTOM_CATCH,BEAR,28.8,-5.7,70100.0,-3.187,-3.687,LOSS,4,2026-07-29,LIVE
2026-07-23,066970,BOTTOM_CATCH,BEAR,31.2,-12.5,85700.0,-7.477,-7.977,LOSS,3,2026-07-28,LIVE
2026-07-23,012450,BOTTOM_CATCH,BEAR,31.3,-9.6,902000.0,8.0,7.5,WIN,1,2026-07-24,LIVE
2026-07-23,145020,BOTTOM_CATCH,BEAR,31.6,-5.9,231000.0,8.0,7.5,WIN,2,2026-07-27,LIVE
2026-07-23,103590,BOTTOM_CATCH,BEAR,31.8,-5.0,63900.0,-5.045,-5.545,LOSS,3,2026-07-28,LIVE
2026-07-23,KOSDAQ,BOTTOM_CATCH,BEAR,29.3,-8.4,765.59,-2.036,-2.536,LOSS,1,2026-07-24,LIVE
2026-07-28,207940,BREAKOUT,BEAR,61.9,10.0,1549000.0,-4.0,-4.5,LOSS,1,2026-07-29,LIVE
2026-08-05,068270,BREAKOUT,BEAR,66.5,6.9,190300.0,8.0,7.5,WIN,4,2026-08-11,LIVE
2026-08-06,214450,BREAKOUT,BEAR,62.1,12.7,394500.0,-4.0,-4.5,LOSS,1,2026-08-07,LIVE
2026-08-06,068270,BREAKOUT,BEAR,69.7,9.0,195000.0,8.0,7.5,WIN,3,2026-08-11,LIVE
2026-08-07,028670,BREAKOUT,BEAR,66.7,13.2,5980.0,-3.997,-4.497,LOSS,1,2026-08-10,LIVE
2026-08-07,068270,BREAKOUT,BEAR,75.5,9.3,196800.0,-4.0,-4.5,LOSS,9,2026-08-21,LIVE
2026-08-07,207940,BREAKOUT,BEAR,67.4,7.3,1556000.0,-4.0,-4.5,LOSS,7,2026-08-19,LIVE
2026-08-07,011200,BREAKOUT,BEAR,64.6,6.0,21800.0,-4.0,-4.5,LOSS,4,2026-08-13,LIVE
2026-08-07,138040,BREAKOUT,BEAR,67.3,6.0,126300.0,-4.0,-4.5,LOSS,1,2026-08-10,LIVE
2026-08-10,214450,BREAKOUT,BEAR,63.0,14.5,410000.0,-4.0,-4.5,LOSS,3,2026-08-13,LIVE
2026-08-10,207940,BREAKOUT,BEAR,65.3,7.6,1569000.0,-4.0,-4.5,LOSS,6,2026-08-19,LIVE
2026-08-10,068270,BREAKOUT,BEAR,79.1,10.7,201000.0,-4.0,-4.5,LOSS,6,2026-08-19,LIVE
2026-08-11,207940,BREAKOUT,BEAR,70.3,9.5,1609000.0,-4.0,-4.5,LOSS,2,2026-08-13,LIVE
2026-08-11,068270,BREAKOUT,BEAR,84.5,14.9,210500.0,-4.0,-4.5,LOSS,1,2026-08-12,LIVE
2026-08-14,352820,BOTTOM_CATCH,BEAR,26.3,-4.1,179400.0,-3.257,-3.757,LOSS,1,2026-08-18,LIVE
2026-08-14,078930,BREAKOUT,BEAR,72.6,25.0,117000.0,-4.0,-4.5,LOSS,4,2026-08-21,LIVE
2026-08-18,078930,BREAKOUT,SIDE,79.2,25.1,119300.0,-4.0,-4.5,LOSS,1,2026-08-19,LIVE
2026-08-18,010950,BREAKOUT,SIDE,71.9,12.5,153600.0,-4.0,-4.5,LOSS,1,2026-08-19,LIVE
2026-08-18,028670,BREAKOUT,SIDE,65.4,10.3,6040.0,-4.007,-4.507,LOSS,1,2026-08-19,LIVE
2026-08-19,078930,BREAKOUT,SIDE,84.6,23.1,119700.0,-4.0,-4.5,LOSS,1,2026-08-20,LIVE
2026-08-20,259960,BOTTOM_CATCH,BEAR,27.6,-6.4,222500.0,-2.386,-2.886,LOSS,1,2026-08-21,LIVE
2026-08-07,028670,LEADER_BREAKOUT,BULL,,,6040.0,-0.166,-0.666,LOSS,20,2026-09-07,LIVE
2026-08-24,214150,BOTTOM_CATCH,BEAR,27.8,-17.8,33400.0,-5.775,-6.275,LOSS,9,2026-09-04,LIVE
2026-08-25,086900,BOTTOM_CATCH,BEAR,30.6,-7.8,67800.0,8.0,7.5,WIN,7,2026-09-03,LIVE
2026-08-25,078930,BREAKOUT,BEAR,76.3,19.0,121800.0,-4.0,-4.5,LOSS,1,2026-08-26,LIVE
2026-08-25,010130,BREAKOUT,BEAR,71.2,24.0,1427000.0,-4.0,-4.5,LOSS,1,2026-08-26,LIVE
2026-08-25,086280,BREAKOUT,BEAR,61.7,6.0,213500.0,-4.0,-4.5,LOSS,1,2026-08-26,LIVE
