market,mode,modeLabel,horizon,horizonLabel,primaryMode,primaryHorizon,profileReason,symbol,name,asOfDate,decisionBucket,timingLabel,timingReason,expectedEntryPrice,newEntryDecision,holderDecision,buyTiming,sellTiming,entry,stop,target,rawEntry,rawStop,rawTarget,rawModelScore,scoreComponentsJson,scoreWeightsJson,correctionInputContractVersion,probability,probabilityText,probabilityMeasured,probabilitySource,probabilitySampleCount,modelScore,expectedPrice,opportunityScore,entryScore,riskScore,eventRiskScore,newsReliabilityScore,newsRiskPenalty,finalRankScore,finalScore,baseScore,upsideScore,momentumScore,rrScore,qualityScore,expectedValue,evNegative,rrActual,maConvergence,supplySignal,surgeLabel,eventBadges,marketRegime,marketRegimeLabel,marketRegimeAdjust,executionStatus,exitStatus,pnlText,excludedFromReturn,sourceBucket,dataStatus,priceSource,currentPrice,generatedAt,correctionApplied,correctionConfidence,correctionSummary,appliedCorrectionVersion,modelVersion,codeVersion,verifiedWinRate,winRateSampleCount,winRateConfidenceWeight,rsi14,volumeRatio20,distanceToMa20,atr14Pct,maFullAlign,mdd20,recentMomentum5,setupScore,setupBucket,setupReason,accumulationScore,convergenceScore,pullbackPreScore,sectorLeadScore,supplyPreScore,catalystScore,overextensionRisk,overextensionReasons,momentumContinuationScore,trendStrengthScore,relativeStrengthScore,nearHighScore,volumeConfirmationScore,sectorLeaderScore,supplyContinuationScore,validationStatus,validationDate
us,aggressive,공격,mid,중기,aggressive,mid,"short momentum, near breakout",S,SentinelOne,2026-08-07,대기 관찰,3~5일 후 진입,20일선 +11.0% — ATR 기준 5일 눌림 예상,$20.97,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$21.40,$20.00,$26.00,21.4,20,26,85.1293,"{""entryScore"": 35.0, ""momentumScore"": 82.0, ""qualityScore"": 90.0, ""riskScore"": 67.7, ""rrScore"": 61.2, ""upsideScore"": 99.4}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,31.4,실측 기반 31.4%,True,OBSERVED_WIN_RATE,41,85.1,$22.15,92.4,35.0,67.7,0,50,0,85.1,85.1,84.7,99.4,82.0,61.2,90.0,1.55,False,3.29,False,NEUTRAL,모멘텀강세,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,NORMAL,live,21.4,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,31.4,41,0.41,64.2,0.95,10.98,3.93,True,-12.75,12.28,9.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,5.0,0.0,0.0,0.0,0.0,0.0,,40.1,9.3,14.8,8.0,0.0,8.0,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,"short momentum, near breakout",CRWD,CrowdStrike,2026-08-07,대기 관찰,3~5일 후 진입,20일선 +9.4% — ATR 기준 4일 눌림 예상,$210.13,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$214.42,$197.00,$264.00,214.42,197,264,79.0087,"{""entryScore"": 35.0, ""momentumScore"": 78.2, ""qualityScore"": 90.0, ""riskScore"": 65.1, ""rrScore"": 59.1, ""upsideScore"": 87.5}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,29.7,실측 기반 29.7%,True,OBSERVED_WIN_RATE,41,79.0,$220.64,83.8,35.0,65.1,0,50,0,79.0,79.0,79.0,87.5,78.2,59.1,90.0,0.42,False,2.85,False,NEUTRAL,모멘텀강세,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,NORMAL,live,214.42,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,29.7,41,0.41,62.1,0.74,9.39,4.17,True,-14.88,12.34,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,36.7,8.8,12.3,8.0,0.0,7.6,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,short momentum,PANW,Palo Alto Networks,2026-08-07,대기 관찰,1~2일 후 진입,20일선 +6.5% — ATR 기준 단기 눌림 가능,$356.58,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$363.86,$335.00,$443.00,363.86,335,443,78.257,"{""entryScore"": 55.0, ""momentumScore"": 71.8, ""qualityScore"": 90.0, ""riskScore"": 68.1, ""rrScore"": 63.1, ""upsideScore"": 81.6}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,29.5,실측 기반 29.5%,True,OBSERVED_WIN_RATE,41,78.3,$374.14,77.7,55.0,68.1,0,50,0,78.3,78.3,78.3,81.6,71.8,63.1,90.0,0.11,False,2.74,False,NEUTRAL,모멘텀강세,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,NORMAL,live,363.86,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,29.5,41,0.41,57.4,0.81,6.46,3.95,True,-12.41,9.65,16.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,8.0,4.0,0.0,0.0,0.0,0.0,,31.8,7.9,10.6,8.0,0.0,5.3,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,"volume expansion, short momentum",NET,Cloudflare,2026-08-07,보류,과열 대기,볼린저 상단 돌파 — 추격 금지,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$300.27,$267.00,$391.00,300.27,267,391,76.9684,"{""entryScore"": 35.0, ""momentumScore"": 80.5, ""qualityScore"": 90.0, ""riskScore"": 64.7, ""rrScore"": 62.3, ""upsideScore"": 78.9}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,29.1,실측 기반 29.1%,True,OBSERVED_WIN_RATE,41,77.0,$308.37,79.5,35.0,64.7,0,50,0,77.0,77.0,77.1,78.9,80.5,62.3,90.0,0.1,False,2.73,False,NEUTRAL,거래량증가 | 모멘텀강세,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,NORMAL,live,300.27,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,29.1,41,0.41,64.9,2.55,8.4,5.47,True,-6.9,7.63,-6.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,0.0,0.0,0.0,0.0,0.0,10.0,갭상승 +11.8%,30.8,8.5,9.8,0.0,7.0,5.5,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,short momentum,TMDX,TMDX,2026-08-07,기다림,과열 대기,볼린저 상단 돌파 — 추격 금지,,대기,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$83.89,$75.00,$108.00,83.89,75,108,76.5389,"{""entryScore"": 35.0, ""momentumScore"": 77.4, ""qualityScore"": 90.0, ""riskScore"": 57.0, ""rrScore"": 55.6, ""upsideScore"": 85.1}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,29.0,실측 기반 29.0%,True,OBSERVED_WIN_RATE,41,76.5,$86.12,82.0,35.0,57.0,0,50,0,76.5,76.5,76.7,85.1,77.4,55.6,90.0,-0.01,True,2.71,False,NEUTRAL,모멘텀강세,EV음수,BULL,강세장,5.0,대기,,,True,ohlcv_quant,NORMAL,live,83.89,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,29.0,41,0.41,66.8,0.8,10.32,5.27,True,-6.66,9.65,0.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.8,9.1,13.7,0.0,0.0,8.0,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,short momentum,BMNR,비트마인 이머전 테크놀로지스,2026-08-07,기다림,1~2일 후 진입,20일선 +10.6% — ATR 기준 단기 눌림 가능,,대기,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$18.82,$16.00,$26.00,18.82,16,26,76.3242,"{""entryScore"": 35.0, ""momentumScore"": 78.0, ""qualityScore"": 90.0, ""riskScore"": 69.7, ""rrScore"": 50.0, ""upsideScore"": 83.0}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,29.0,실측 기반 29.0%,True,OBSERVED_WIN_RATE,41,76.3,$19.32,81.0,35.0,69.7,0,50,0,76.3,76.3,76.5,83.0,78.0,50.0,90.0,-0.6,True,2.55,False,NEUTRAL,모멘텀강세,EV음수,BULL,강세장,5.0,대기,,,True,ohlcv_quant,NORMAL,live,18.82,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,29.0,41,0.41,60.3,0.89,10.61,6.73,True,-11.1,8.91,12.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,4.0,0.0,0.0,0.0,0.0,,31.7,9.2,14.5,0.0,0.0,8.0,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,"short momentum, near breakout",ETN,Eaton,2026-08-07,기다림,3~5일 후 진입,20일선 +8.9% — ATR 기준 4일 눌림 예상,,대기,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$448.68,$410.00,$554.00,448.68,410,554,72.029,"{""entryScore"": 35.0, ""momentumScore"": 70.2, ""qualityScore"": 90.0, ""riskScore"": 51.5, ""rrScore"": 50.0, ""upsideScore"": 82.4}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,27.8,실측 기반 27.8%,True,OBSERVED_WIN_RATE,41,72.0,$458.56,77.5,35.0,51.5,0,50,0,72.0,72.0,72.5,82.4,70.2,50.0,90.0,-0.44,True,2.72,False,NEUTRAL,모멘텀강세,EV음수,BULL,강세장,5.0,대기,,,True,ohlcv_quant,NORMAL,live,448.68,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,27.8,41,0.41,65.4,0.7,8.89,4.26,True,-12.91,8.06,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,27.9,8.7,9.1,8.0,0.0,2.1,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,short momentum,DIS,DIS,2026-08-07,기다림,과열 대기,볼린저 상단 돌파 — 추격 금지,,대기,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$104.91,$100.00,$118.00,104.91000366210938,100,118,69.2371,"{""entryScore"": 55.0, ""momentumScore"": 70.3, ""qualityScore"": 80.0, ""riskScore"": 38.7, ""rrScore"": 48.3, ""upsideScore"": 73.4}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,27.0,실측 기반 27.0%,True,OBSERVED_WIN_RATE,41,69.2,$106.93,72.2,55.0,38.7,0,50,0,69.2,69.2,69.9,73.4,70.3,48.3,80.0,-0.59,True,2.67,False,NEUTRAL,모멘텀강세,EV음수,BULL,강세장,5.0,대기,,,True,ohlcv_quant,PARTIAL,ohlcv,104.91000366210938,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,27.0,41,0.41,70.1,0.96,7.26,2.26,False,-6.9,9.07,7.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,19.6,2.2,9.4,0.0,0.0,8.0,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,short momentum,PFE,PFE,2026-08-07,보류,과열 대기,볼린저 상단 돌파 — 추격 금지,,조건부 진입,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$26.76,$26.00,$30.00,26.760000228881836,26,30,68.378,"{""entryScore"": 55.0, ""momentumScore"": 68.1, ""qualityScore"": 80.0, ""riskScore"": 44.2, ""rrScore"": 49.7, ""upsideScore"": 71.6}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,26.7,실측 기반 26.7%,True,OBSERVED_WIN_RATE,41,68.4,$27.25,70.2,55.0,44.2,0,50,0,68.4,68.4,69.1,71.6,68.1,49.7,80.0,0.64,False,3.24,False,NEUTRAL,모멘텀강세,,BULL,강세장,5.0,대기,,,False,ohlcv_quant,PARTIAL,ohlcv,26.760000228881836,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,26.7,41,0.41,76.0,1.05,6.61,1.96,False,-2.37,7.0,0.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,8.0,0.0,0.0,0.0,0.0,0.0,8.0,RSI 76 과열,18.9,2.0,8.9,0.0,0.0,8.0,0.0,PENDING,
us,aggressive,공격,mid,중기,aggressive,mid,"short momentum, near breakout, mid-term trend",RSP,RSP,2026-08-07,기다림,수렴 진입,이격도 수렴 완성 — 최적 진입 타이밍,,대기,보유자는 목표가·손절가 대응,기준가 도달 대기,목표가 도달 시 분할익절 / 손절가 이탈 시 종료,$220.09,$216.00,$232.00,220.08999633789062,216,232,67.3042,"{""entryScore"": 75.0, ""momentumScore"": 55.6, ""qualityScore"": 80.0, ""riskScore"": 63.2, ""rrScore"": 50.0, ""upsideScore"": 65.4}","{""entryScore"": 0.1, ""momentumScore"": 0.25, ""newsRiskPenalty"": 0.05, ""qualityScore"": 0.0, ""riskScore"": 0.1, ""rrScore"": 0.15, ""upsideScore"": 0.35}",correction-shadow-input-v1,26.4,실측 기반 26.4%,True,OBSERVED_WIN_RATE,41,67.3,$223.90,61.5,75.0,63.2,0,50,0,67.3,67.3,68.1,65.4,55.6,50.0,80.0,-0.36,True,2.91,True,NEUTRAL,이격도수렴 | 눌림목매수,EV음수 | 이격도수렴,BULL,강세장,5.0,대기,,,True,ohlcv_quant,PARTIAL,ohlcv,220.08999633789062,2026-08-09T23:30:12.603594+00:00,False,0.9,correction quarantined: no valid promotion lineage,372,mone-v36-deterministic-ranker-v1,d39b2aac7b10dc4d7dff03455a983b104b0c5666,26.4,41,0.41,71.3,0.77,2.21,1.01,True,-1.46,2.36,8.0,관찰후보,아직 준비 신호 부족 — 관심종목으로만 유지,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,18.7,6.7,2.5,8.0,0.0,1.5,0.0,PENDING,
