구분,종목,시장,보유수량,평단가,현재가,수익률,권장행동,권장수량,예상금액,가격출처,초보자 안내,종목코드,카드제목,판단,핵심요약,수량요약,가격출처표시,다음행동표시
보유/매도,ASTS (ASTS),미국주식,34.0,$81.93,$105.86,29.21%,일부 익절 검토,8,$846.88,yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.,ASTS (ASTS),ASTS (ASTS),일부 익절 검토,보유 34.0 · 평단 $81.93 · 현재가 $105.86 · 수익률 29.21%,권장수량 8 · 예상금액 $846.88,yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,BMNR (BMNR),미국주식,211.0,$22.75,$18.88,-17.01%,손절/축소 검토,106,"$2,001.28",yfinance 직전 종가,손실 구간입니다. 손절가 이탈 여부를 먼저 확인합니다.,BMNR (BMNR),BMNR (BMNR),손절/축소 검토,보유 211.0 · 평단 $22.75 · 현재가 $18.88 · 수익률 -17.01%,"권장수량 106 · 예상금액 $2,001.28",yfinance 직전 종가,손실 구간입니다. 손절가 이탈 여부를 먼저 확인합니다.
보유/매도,CAT (CAT),미국주식,5.0,$782.78,$879.89,12.41%,보유 유지,0,-,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.,CAT (CAT),CAT (CAT),보유 유지,보유 5.0 · 평단 $782.78 · 현재가 $879.89 · 수익률 12.41%,권장수량 0 · 예상금액 -,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,CRCL (CRCL),미국주식,30.0,$94.55,$113.12,19.64%,보유 유지,0,-,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.,CRCL (CRCL),CRCL (CRCL),보유 유지,보유 30.0 · 평단 $94.55 · 현재가 $113.12 · 수익률 19.64%,권장수량 0 · 예상금액 -,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,INTC (INTC),미국주식,65.0,$55.29,$119.84,116.75%,일부 익절 검토,16,"$1,917.44",yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.,INTC (INTC),INTC (INTC),일부 익절 검토,보유 65.0 · 평단 $55.29 · 현재가 $119.84 · 수익률 116.75%,"권장수량 16 · 예상금액 $1,917.44",yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,LITE (LITE),미국주식,5.0,$869.00,$946.90,8.96%,보유 유지,0,-,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.,LITE (LITE),LITE (LITE),보유 유지,보유 5.0 · 평단 $869.00 · 현재가 $946.90 · 수익률 8.96%,권장수량 0 · 예상금액 -,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,NBIS (NBIS),미국주식,22.0,$159.00,$214.77,35.08%,일부 익절 검토,6,"$1,288.62",yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.,NBIS (NBIS),NBIS (NBIS),일부 익절 검토,보유 22.0 · 평단 $159.00 · 현재가 $214.77 · 수익률 35.08%,"권장수량 6 · 예상금액 $1,288.62",yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,RKLB (RKLB),미국주식,21.0,$67.50,$135.76,101.13%,일부 익절 검토,5,$678.80,yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.,RKLB (RKLB),RKLB (RKLB),일부 익절 검토,보유 21.0 · 평단 $67.50 · 현재가 $135.76 · 수익률 101.13%,권장수량 5 · 예상금액 $678.80,yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,SNDK (SNDK),미국주식,5.0,$791.60,"$1,478.69",86.80%,일부 익절 검토,1,"$1,478.69",yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.,SNDK (SNDK),SNDK (SNDK),일부 익절 검토,"보유 5.0 · 평단 $791.60 · 현재가 $1,478.69 · 수익률 86.80%","권장수량 1 · 예상금액 $1,478.69",yfinance 직전 종가,수익 구간입니다. 전량 매도보다 일부 익절/트레일링을 검토합니다.
보유/매도,AAOI (AAOI),미국주식,11.0,$174.64,$181.49,3.92%,보유 유지,0,-,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.,AAOI (AAOI),AAOI (AAOI),보유 유지,보유 11.0 · 평단 $174.64 · 현재가 $181.49 · 수익률 3.92%,권장수량 0 · 예상금액 -,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
보유/매도,SIMO (SIMO),미국주식,9.0,$244.21,$276.14,13.07%,보유 유지,0,-,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.,SIMO (SIMO),SIMO (SIMO),보유 유지,보유 9.0 · 평단 $244.21 · 현재가 $276.14 · 수익률 13.07%,권장수량 0 · 예상금액 -,yfinance 직전 종가,보유 유지 가능 구간입니다. 목표가 근처면 일부 익절을 검토합니다.
